end station id,end station name,end station latitude,end station longitude,end duration mean,end duration sum,end duration count,end year,end type
447,8 Ave & W 52 St,40.76370739,-73.9851615,787.3733745,3572313,4537,2019,subs
448,W 37 St & 10 Ave,40.75660359,-73.9979009,798.7596075,2930649,3669,2019,subs
450,W 49 St & 8 Ave,40.76227205,-73.98788205,712.6283553,2920351,4098,2019,subs
453,W 22 St & 8 Ave,40.74475148,-73.99915362,661.4199382,4279387,6470,2019,subs
454,E 51 St & 1 Ave,40.75455731,-73.96592976,871.4080919,1744559,2002,2019,subs
455,1 Ave & E 44 St,40.75001986,-73.96905301,966.3792415,2904936,3006,2019,subs
456,E 53 St & Madison Ave,40.7597108,-73.97402311,693.8324964,1934405,2788,2019,subs
458,11 Ave & W 27 St,40.751396,-74.005226,861.6371575,2861497,3321,2019,subs
459,W 20 St & 11 Ave,40.746745,-74.007756,796.7855091,6378268,8005,2019,subs
460,S 4 St & Wythe Ave,40.71285887,-73.96590294,843.8812482,2920673,3461,2019,subs
461,E 20 St & 2 Ave,40.73587678,-73.98205027,662.3636549,3254855,4914,2019,subs
462,W 22 St & 10 Ave,40.74691959,-74.00451887,750.7253257,5012593,6677,2019,subs
465,Broadway & W 41 St,40.75513557,-73.98658032,809.2804314,4727007,5841,2019,subs
466,W 25 St & 6 Ave,40.74395411,-73.99144871,721.4310128,4010435,5559,2019,subs
467,Dean St & 4 Ave,40.68312489,-73.97895137,579.3413043,1332485,2300,2019,subs
468,Broadway & W 56 St,40.7652654,-73.98192338,810.3599095,2866243,3537,2019,subs
469,Broadway & W 53 St,40.76344058,-73.98268129,750.0503837,2247901,2997,2019,subs
470,W 20 St & 8 Ave,40.74345335,-74.00004031,749.9287221,3556162,4742,2019,subs
471,Grand St & Havemeyer St,40.71286844,-73.95698119,840.7659321,1411646,1679,2019,subs
472,E 32 St & Park Ave,40.7457121,-73.98194829,668.7025305,3673183,5493,2019,subs
473,Rivington St & Chrystie St,40.72110063,-73.9919254,857.0339299,2298565,2682,2019,subs
474,5 Ave & E 29 St,40.7451677,-73.98683077,736.4802837,3529950,4793,2019,subs
476,E 31 St & 3 Ave,40.74394314,-73.97966069,684.1172601,3016273,4409,2019,subs
477,W 41 St & 8 Ave,40.75640548,-73.9900262,709.7829904,5416354,7631,2019,subs
478,11 Ave & W 41 St,40.76030096,-73.99884222,796.382236,3604426,4526,2019,subs
479,9 Ave & W 45 St,40.76019252,-73.9912551,768.2227535,3855710,5019,2019,subs
480,W 53 St & 10 Ave,40.76669671,-73.99061728,679.7814669,2252116,3313,2019,subs
481,S 3 St & Bedford Ave,40.71260486,-73.96264403,995.631797,1922565,1931,2019,subs
482,W 15 St & 7 Ave,40.73935542,-73.99931783,612.3327634,2865105,4679,2019,subs
483,E 12 St & 3 Ave,40.73223272,-73.98889957,651.9722432,3452845,5296,2019,subs
484,W 44 St & 5 Ave,40.75500254,-73.98014437,935.8237935,3335276,3564,2019,subs
485,W 37 St & 5 Ave,40.75038009,-73.98338988,797.4678225,2713783,3403,2019,subs
486,Broadway & W 29 St,40.7462009,-73.98855723,1053.079833,7294684,6927,2019,subs
487,E 20 St & FDR Drive,40.73314259,-73.97573881,764.536478,3646839,4770,2019,subs
490,8 Ave & W 33 St,40.751551,-73.993934,721.8777403,5993029,8302,2019,subs
491,E 24 St & Park Ave S,40.74096374,-73.98602213,646.2222222,4565560,7065,2019,subs
492,W 33 St & 7 Ave,40.75019995,-73.99093085,729.6076876,5979135,8195,2019,subs
493,W 45 St & 6 Ave,40.7568001,-73.98291153,762.6971558,2359785,3094,2019,subs
494,W 26 St & 8 Ave,40.74734825,-73.99723551,639.5170882,3312059,5179,2019,subs
495,W 47 St & 10 Ave,40.76269882,-73.99301222,750.8616632,2871295,3824,2019,subs
